code,stop_name,street_name,lat,lng,route
SL256,SL256 PERINDUSTRIAN SBC,JLN SBC 8,3.231241284,101.6845567,171
KL631,KL631 TAMAN BATU MUDA (TENGAH),JLN TAMAN BT MUDA,3.228024,101.68612,171;173
KL632,KL632 TAMAN BATU MUDA (TIMUR),JLN TAMAN BT MUDA,3.228132,101.688189,171;173
KL633,KL633 RAUDHATUL SAKINAH,JLN 46/10,3.226651,101.689353,171;173
KL634,KL634 IIC/PICOMS (OPP),JLN 46/10,3.223155,101.689429,171;173
KL636,KL636 TAMAN KOPERASI POLIS,JLN 46/10,3.220635,101.689417,171;173
KL638,KL638 FIT CENTRE,JLN 46/10,3.21544523,101.6894337,171
KL639,KL639 SMK BATU MUDA (OPP),JLN 46/10,3.211631,101.689436,171
,CENTURA SENTUL,JLN SENTUL,3.204097,101.689384,171
KL665,KL665 SJKT SENTUL,JLN SENTUL,3.176864722,101.6929405,171;180
KL68,MONOREL CHOW KIT,JLN SULTAN AZLAN SHAH,3.16758555,101.6982345,171
KL1580,KL1580 PETRON SENTUL WEST,JLN SULTAN AZLAN SHAH,3.178511,101.685795,173;190;191
KL594,KL594 MRT KG BATU,JLN 1/18B,3.205422,101.675887,173
KL593,KL593 PPR BATU MUDA BLOK G (OPP),JLN AMPAT TIN,3.206771,101.679318,173
KL1571,KL1571 PPR BATU MUDA (OPP),JLN AMPAT TIN,3.207703,101.680257,173
KL2239,KL2239 SK BATU MUDA (OPP),JLN AMPAT TIN,3.213402,101.684121,173
KL2240,KL2240 PERUMAHAN TENTERA AMPAT TIN,JLN 1/12B,3.214803,101.684633,173
KL2242,KL2242 PERUMAHAN LOT BATU MUDA,PERS 1/12,3.216029,101.686414,173
KL2275,KL2275 MASJID SAIDINA HAMZAH (OPP),JLN 6/12C,3.217813,101.688308,173
KL623,KL623 TAMAN KOPERASI POLIS,JLN 46/10,3.220585,101.689193,173
KL628,KL628 TAMAN BATU MUDA (TENGAH),JLN TAMAN BT MUDA,3.227839,101.685253,173
KL629,KL629 HENTIAN BATU MUDA,JLN TAMAN BT MUDA,3.227768476,101.6834069,173
SL491,SL491 KJCF (OPP),JLN PERUSAHAAN 1,3.229023,101.682252,173
SL492,SL492 AMARI BUSINESS PARK,JLN PERUSAHAAN 1,3.231727806,101.6823852,173
SL493,SL493 NISSAN,JLN PERUSAHAAN 1,3.234001267,101.6825853,173
SL28,SL28 PADANG AWAM BATU CAVES (OPP),JLN BT CAVES,3.235465,101.677474,173;MPS1
